Alabama,8.2
Alaska,7.1
Arizona,8.4
Arkansas,7.5
California,10.4
Colorado,7.9
Connecticut,8.5
Delaware,7.2
District of Columbia,8.9
Florida,8.5
Georgia,9.1
Hawaii,6.1
Idaho,7.3
Illinois,9
Indiana,8.3
Iowa,5
Kansas,5.7
Kentucky,8.2
Louisiana,7.1
Maine,7.5
Maryland,6.9
Massachusetts,6.6
Michigan,9.1
Minnesota,5.6
Mississippi,9
Missouri,6.9
Montana,6.1
Nebraska,3.9
Nevada,11.2
New Hampshire,5.5
New Jersey,9.4
New Mexico,7
New York,8.7
North Carolina,9.2
North Dakota,3
Ohio,7.3
Oklahoma,5.1
Oregon,8.8
Pennsylvania,7.8
Rhode Island,10.5
South Carolina,9.3
South Dakota,4.3
Tennessee,7.9
Texas,6.7
Utah,5.4
Vermont,5
Virginia,6
Washington,8.2
West Virginia,7.5
Wisconsin,7.1
Wyoming,5.3
