Alabama,5.5
Alaska,6.7
Arizona,5.9
Arkansas,5.2
California,7.2
Colorado,4.7
Connecticut,5.5
Delaware,4.6
District of Columbia,6.2
Florida,6.2
Georgia,6.1
Hawaii,4.1
Idaho,5.5
Illinois,6.3
Indiana,5.7
Iowa,4.1
Kansas,4.5
Kentucky,6.3
Louisiana,4.8
Maine,5.2
Maryland,4.1
Massachusetts,5.4
Michigan,8
Minnesota,5.3
Mississippi,6.8
Missouri,6
Montana,4.9
Nebraska,3.3
Nevada,6.3
New Hampshire,3.7
New Jersey,5.1
New Mexico,4.2
New York,5.3
North Carolina,5.9
North Dakota,3.1
Ohio,6.4
Oklahoma,3.6
Oregon,6
Pennsylvania,5.2
Rhode Island,7.5
South Carolina,6.6
South Dakota,2.9
Tennessee,6.6
Texas,4.7
Utah,3.3
Vermont,4.5
Virginia,3.9
Washington,5.3
West Virginia,4.2
Wisconsin,4.6
Wyoming,2.9
