Alabama,11.4
Alaska,7.8
Arizona,10.3
Arkansas,8
California,11.3
Colorado,7.7
Connecticut,8.1
Delaware,8.4
District of Columbia,9.3
Florida,10.7
Georgia,10.2
Hawaii,7.3
Idaho,9.7
Illinois,10.5
Indiana,10.7
Iowa,6.6
Kansas,7.2
Kentucky,10.9
Louisiana,7
Maine,8.3
Maryland,7.1
Massachusetts,8.4
Michigan,14.9
Minnesota,8.1
Mississippi,9.7
Missouri,9.5
Montana,6.9
Nebraska,4.8
Nevada,11.5
New Hampshire,6.6
New Jersey,9.3
New Mexico,8
New York,8.6
North Carolina,10.7
North Dakota,4.2
Ohio,10.7
Oklahoma,6.6
Oregon,11.8
Pennsylvania,8.4
Rhode Island,11.3
South Carolina,11.6
South Dakota,5.1
Tennessee,11.1
Texas,8.1
Utah,7.6
Vermont,6.9
Virginia,6.9
Washington,9.3
West Virginia,8.2
Wisconsin,8.9
Wyoming,6.7
