Alabama,9.8
Alaska,7.5
Arizona,9.7
Arkansas,8.3
California,11.7
Colorado,8.2
Connecticut,8.9
Delaware,7.5
District of Columbia,10.5
Florida,10
Georgia,10.1
Hawaii,6.8
Idaho,8.4
Illinois,9.8
Indiana,9.1
Iowa,5.5
Kansas,6.4
Kentucky,9.4
Louisiana,7.7
Maine,7.9
Maryland,7.2
Massachusetts,7.3
Michigan,10.5
Minnesota,6.6
Mississippi,10
Missouri,8.4
Montana,7
Nebraska,4.4
Nevada,13.1
New Hampshire,5.4
New Jersey,9.4
New Mexico,7.4
New York,8.2
North Carolina,10.3
North Dakota,3.5
Ohio,9
Oklahoma,5.8
Oregon,9.5
Pennsylvania,7.9
Rhode Island,10.9
South Carolina,10.6
South Dakota,4.7
Tennessee,9
Texas,7.8
Utah,6.8
Vermont,5.4
Virginia,6.5
Washington,9.3
West Virginia,7.9
Wisconsin,7.8
Wyoming,5.7
