Alabama,7
Alaska,6.9
Arizona,7.6
Arkansas,7.3
California,8.9
Colorado,6.8
Connecticut,7.8
Delaware,6.8
District of Columbia,8.6
Florida,7.1
Georgia,8.2
Hawaii,4.8
Idaho,6.2
Illinois,9.1
Indiana,7.7
Iowa,4.7
Kansas,5.3
Kentucky,8.1
Louisiana,6.7
Maine,6.6
Maryland,6.6
Massachusetts,6.8
Michigan,8.7
Minnesota,4.9
Mississippi,8.5
Missouri,6.6
Montana,5.4
Nebraska,3.8
Nevada,9.6
New Hampshire,5
New Jersey,8.3
New Mexico,6.7
New York,7.6
North Carolina,8
North Dakota,2.9
Ohio,7.4
Oklahoma,5.2
Oregon,7.9
Pennsylvania,7.1
Rhode Island,9.2
South Carolina,7.7
South Dakota,3.8
Tennessee,7.9
Texas,6.2
Utah,4.5
Vermont,4.4
Virginia,5.6
Washington,7
West Virginia,6.5
Wisconsin,6.7
Wyoming,4.6
