Alabama,6.1
Alaska,6.4
Arizona,5.9
Arkansas,5.2
California,6.2
Colorado,3.8
Connecticut,5.5
Delaware,4.8
District of Columbia,6.9
Florida,5.3
Georgia,5.8
Hawaii,3.6
Idaho,4.2
Illinois,5.9
Indiana,4.7
Iowa,3.8
Kansas,4.3
Kentucky,5.2
Louisiana,6.2
Maine,4.4
Maryland,5.1
Massachusetts,4.8
Michigan,5.4
Minnesota,3.7
Mississippi,6.3
Missouri,5.1
Montana,4.1
Nebraska,3.1
Nevada,6.8
New Hampshire,3.4
New Jersey,5.9
New Mexico,6.5
New York,5.3
North Carolina,5.8
North Dakota,2.8
Ohio,4.9
Oklahoma,4.4
Oregon,5.7
Pennsylvania,5.3
Rhode Island,6
South Carolina,5.9
South Dakota,3.1
Tennessee,5.6
Texas,4.4
Utah,3.6
Vermont,3.6
Virginia,4.4
Washington,5.6
West Virginia,7
Wisconsin,4.5
Wyoming,4.2
