Alabama,6.1
Alaska,7.9
Arizona,5.9
Arkansas,6
California,6.9
Colorado,6.1
Connecticut,5.5
Delaware,4.4
District of Columbia,6.9
Florida,5.4
Georgia,5.1
Hawaii,4.3
Idaho,5.8
Illinois,6.9
Indiana,5.5
Iowa,4.6
Kansas,5.6
Kentucky,6.3
Louisiana,6.9
Maine,5
Maryland,4.5
Massachusetts,5.8
Michigan,7.5
Minnesota,5
Mississippi,6.7
Missouri,5.9
Montana,4.7
Nebraska,4
Nevada,5.2
New Hampshire,4.4
New Jersey,6
New Mexico,5.9
New York,6.4
North Carolina,6.6
North Dakota,3.8
Ohio,6.4
Oklahoma,5.7
Oregon,8.5
Pennsylvania,5.7
Rhode Island,5.3
South Carolina,7
South Dakota,3.6
Tennessee,5.9
Texas,6.9
Utah,5.7
Vermont,4.3
Virginia,4.2
Washington,7.6
West Virginia,6.2
Wisconsin,5.8
Wyoming,4.3
