Alabama,4.1
Alaska,6.6
Arizona,4.1
Arkansas,5.2
California,4.9
Colorado,4.3
Connecticut,4.3
Delaware,3.6
District of Columbia,5.9
Florida,3.2
Georgia,4.8
Hawaii,2.8
Idaho,3.4
Illinois,4.5
Indiana,5.2
Iowa,3.6
Kansas,4.4
Kentucky,5.7
Louisiana,4.4
Maine,4.6
Maryland,4
Massachusetts,4.9
Michigan,7
Minnesota,3.8
Mississippi,6.5
Missouri,4.8
Montana,3.5
Nebraska,3.1
Nevada,4
New Hampshire,3.4
New Jersey,4.9
New Mexico,4.1
New York,4.6
North Carolina,4.8
North Dakota,3.2
Ohio,5.4
Oklahoma,3.9
Oregon,5.3
Pennsylvania,4.6
Rhode Island,4.9
South Carolina,6.6
South Dakota,3.1
Tennessee,5.4
Texas,5
Utah,2.9
Vermont,3.6
Virginia,3.1
Washington,5.1
West Virginia,5.1
Wisconsin,4.7
Wyoming,3.1
