Alabama,10.1
Alaska,7.8
Arizona,10.4
Arkansas,8.1
California,12.1
Colorado,8.8
Connecticut,9.1
Delaware,8.4
District of Columbia,9.2
Florida,10.8
Georgia,10.2
Hawaii,6.9
Idaho,9
Illinois,10.2
Indiana,10.3
Iowa,5.9
Kansas,7
Kentucky,10
Louisiana,7.9
Maine,8.1
Maryland,7.6
Massachusetts,8.3
Michigan,12.4
Minnesota,7.3
Mississippi,10.2
Missouri,9.5
Montana,7.3
Nebraska,4.6
Nevada,13.6
New Hampshire,5.8
New Jersey,9.4
New Mexico,8.3
New York,8.5
North Carolina,10.7
North Dakota,3.8
Ohio,10.1
Oklahoma,6.8
Oregon,10.6
Pennsylvania,8.4
Rhode Island,11.2
South Carolina,11
South Dakota,4.9
Tennessee,9.4
Texas,8
Utah,7.9
Vermont,6.1
Virginia,7
Washington,9.9
West Virginia,8.4
Wisconsin,8.5
Wyoming,6.3
