Alabama,3.9
Alaska,6.3
Arizona,3.7
Arkansas,5.4
California,5.3
Colorado,3.6
Connecticut,4.4
Delaware,3.4
District of Columbia,5.5
Florida,4
Georgia,4.5
Hawaii,2.7
Idaho,2.9
Illinois,4.9
Indiana,4.5
Iowa,3.7
Kansas,4.2
Kentucky,5.3
Louisiana,4.4
Maine,4.7
Maryland,3.5
Massachusetts,4.6
Michigan,7
Minnesota,4.6
Mississippi,6.3
Missouri,5.1
Montana,3.5
Nebraska,3
Nevada,4.4
New Hampshire,3.5
New Jersey,4.3
New Mexico,3.7
New York,4.6
North Carolina,4.7
North Dakota,3.1
Ohio,5.6
Oklahoma,4.2
Oregon,5.1
Pennsylvania,4.4
Rhode Island,5
South Carolina,5.6
South Dakota,2.8
Tennessee,4.4
Texas,4.2
Utah,2.5
Vermont,4
Virginia,3
Washington,4.6
West Virginia,4.5
Wisconsin,5
Wyoming,2.9
